Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 402, 84918, 127377000, 10.1903, 84513, 126769500, 10.142, 0.0125851, 0.00209747, 0.00473415
7, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
11, 13, 84918, 127377000, 10.1903, 84902, 127353000, 10.1887, 0.0132592, 0.00210836, 0.000153094
15, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
19, 422, 84918, 127377000, 10.1903, 84495, 126742500, 10.1395, 0.0130425, 0.00211922, 0.00496956
23, 438, 84918, 127377000, 10.1903, 84454, 126681000, 10.1376, 0.0134786, 0.00212531, 0.0051595
27, 18, 84918, 127377000, 10.1903, 84871, 127306500, 10.1876, 0.0136127, 0.00212005, 0.000212042
31, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
35, 457, 84918, 127377000, 10.1903, 84435, 126652500, 10.1352, 0.0136871, 0.00213077, 0.00538331
39, 19, 84918, 127377000, 10.1903, 84875, 127312500, 10.1875, 0.0137037, 0.00212653, 0.000223809
43, 78, 84918, 127377000, 10.1903, 84828, 127242000, 10.1807, 0.0131023, 0.00208531, 0.000918663
47, 31, 84918, 127377000, 10.1903, 84878, 127317000, 10.1865, 0.013319, 0.00212063, 0.000365097
51, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
55, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
59, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
63, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
67, 36, 84918, 127377000, 10.1903, 84876, 127314000, 10.1855, 0.0138619, 0.0021393, 0.000423968
71, 106, 84918, 127377000, 10.1903, 84787, 127180500, 10.1748, 0.0139053, 0.0021427, 0.00124863
75, 145, 84918, 127377000, 10.1903, 84760, 127140000, 10.1723, 0.0140573, 0.00214424, 0.00170779
79, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
83, 19, 84918, 127377000, 10.1903, 84873, 127309500, 10.188, 0.0133557, 0.00213647, 0.000223814
87, 368, 84918, 127377000, 10.1903, 84529, 126793500, 10.1461, 0.0135939, 0.00214913, 0.00433466
91, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
95, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
99, 70, 84918, 127377000, 10.1903, 84844, 127266000, 10.1818, 0.0137815, 0.00214819, 0.000824363
103, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
107, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
