Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 33015, 84918, 127377000, 10.1903, 51414, 77121000, 6.16981, 0.555979, 0.000983307, 0.391039
8, 34430, 84918, 127377000, 10.1903, 49747, 74620500, 5.96983, 0.570416, 0.000816497, 0.409019
12, 33726, 84918, 127377000, 10.1903, 50540, 75810000, 6.06495, 0.573207, 0.000981981, 0.400233
16, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
20, 33005, 84918, 127377000, 10.1903, 51345, 77017500, 6.16152, 0.561232, 0.00095853, 0.391286
24, 33752, 84918, 127377000, 10.1903, 50522, 75783000, 6.06282, 0.56921, 0.000970712, 0.400503
28, 33049, 84918, 127377000, 10.1903, 51336, 77004000, 6.16061, 0.559374, 0.000973318, 0.391645
32, 33798, 84918, 127377000, 10.1903, 50491, 75736500, 6.059, 0.572432, 0.000970148, 0.400978
36, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
40, 32978, 84918, 127377000, 10.1903, 51416, 77124000, 6.17009, 0.557608, 0.000978039, 0.390762
44, 33119, 84918, 127377000, 10.1903, 51226, 76839000, 6.14728, 0.567027, 0.000983445, 0.392661
48, 33000, 84918, 127377000, 10.1903, 51414, 77121000, 6.16977, 0.556514, 0.000939214, 0.39093
52, 33019, 84918, 127377000, 10.1903, 51404, 77106000, 6.16862, 0.557212, 0.000982309, 0.391114
56, 33227, 84918, 127377000, 10.1903, 51203, 76804500, 6.14445, 0.558127, 0.000968895, 0.393545
60, 32947, 84918, 127377000, 10.1903, 51417, 77125500, 6.17011, 0.561263, 0.000971378, 0.390534
64, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
68, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
72, 32959, 84918, 127377000, 10.1903, 51393, 77089500, 6.1673, 0.563292, 0.000981805, 0.390732
76, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
80, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
84, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
88, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
