Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 84563, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
6, 84593, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
10, 84552, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
14, 84570, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
18, 84555, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
22, 84547, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
26, 84597, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
30, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
34, 84555, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
38, 84587, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
42, 84552, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
46, 84595, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
50, 84585, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
54, 84586, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
58, 84584, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
62, 84582, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
66, 84596, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
70, 84534, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
74, 84536, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
78, 84552, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
82, 84569, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
86, 84594, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
90, 84539, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
94, 84553, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
98, 84553, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
102, 84537, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
106, 84551, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
110, 84546, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
114, 84551, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
118, 84588, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
