Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 320697, 339673, 509509500, 20.3805, 294, 441000, 1.01503, 1.16272, 0.00817509, 0.999084
5, 320434, 339673, 509509500, 20.3805, 557, 835500, 1.59887, 1.44293, 0.00681055, 0.998265
9, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
13, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
17, 320822, 339673, 509509500, 20.3805, 169, 253500, 0.942559, 1.19272, 0.00687489, 0.999474
21, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
25, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
29, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
33, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
37, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
41, 320956, 339673, 509509500, 20.3805, 35, 52500, 0.152291, 1.68469, 0.0350005, 0.999891
