Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 339279, 339673, 509509500, 20.3805, 8, 12000, 0.00548879, 0.439852, 0.10164, 0.999976
6, 339322, 339673, 509509500, 20.3805, 7, 10500, 0.00428888, 0.567841, 0.390334, 0.999979
10, 320984, 339673, 509509500, 20.3805, 7, 10500, 0.00427351, 0.533693, 0.263083, 0.999978
14, 339288, 339673, 509509500, 20.3805, 6, 9000, 0.00366215, 0.383887, 0.166817, 0.999982
18, 339283, 339673, 509509500, 20.3805, 7, 10500, 0.00426944, 0.293752, 0.117227, 0.999979
22, 339328, 339673, 509509500, 20.3805, 6, 9000, 0.00387877, 0.477402, 0.029583, 0.999982
26, 339322, 339673, 509509500, 20.3805, 6, 9000, 0.00365556, 0.453941, 0.207777, 0.999982
30, 339322, 339673, 509509500, 20.3805, 5, 7500, 0.00510271, 0.482856, 0.0204698, 0.999985
34, 339321, 339673, 509509500, 20.3805, 6, 9000, 0.00444015, 0.49137, 0.147356, 0.999982
38, 339326, 339673, 509509500, 20.3805, 5, 7500, 0.00368955, 0.652742, 0.265265, 0.999985
42, 339325, 339673, 509509500, 20.3805, 5, 7500, 0.00323045, 0.62775, 0.400883, 0.999985
46, 339302, 339673, 509509500, 20.3805, 4, 6000, 0.00294146, 0.526969, 0.101553, 0.999988
50, 339330, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
54, 339326, 339673, 509509500, 20.3805, 5, 7500, 0.00527598, 1.08907, 0.828624, 0.999985
58, 339283, 339673, 509509500, 20.3805, 7, 10500, 0.00451156, 0.621223, 0.354982, 0.999979
62, 339327, 339673, 509509500, 20.3805, 5, 7500, 0.00507379, 0.238063, 0.151122, 0.999985
66, 339324, 339673, 509509500, 20.3805, 5, 7500, 0.00506779, 0.242881, 0.156479, 0.999985
70, 339283, 339673, 509509500, 20.3805, 6, 9000, 0.00364497, 0.410753, 0.190625, 0.999982
74, 339337, 339673, 509509500, 20.3805, 6, 9000, 0.00386038, 0.526354, 0.36259, 0.999982
78, 339341, 339673, 509509500, 20.3805, 5, 7500, 0.00321406, 0.436988, 0.222766, 0.999985
82, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
86, 339279, 339673, 509509500, 20.3805, 3, 4500, 0.00194333, 0.801029, 0.265099, 0.999991
90, 339335, 339673, 509509500, 20.3805, 2, 3000, 0.00138591, 0.379982, 0.198387, 0.999994
94, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
98, 339338, 339673, 509509500, 20.3805, 3, 4500, 0.00207487, 0.448142, 0.173883, 0.999991
102, 339324, 339673, 509509500, 20.3805, 4, 6000, 0.00259047, 1.00303, 1.06083, 0.999988
106, 339322, 339673, 509509500, 20.3805, 5, 7500, 0.00323555, 0.458332, 0.223707, 0.999985
110, 339316, 339673, 509509500, 20.3805, 6, 9000, 0.00388198, 0.992599, 1.37143, 0.999982
114, 339314, 339673, 509509500, 20.3805, 6, 9000, 0.00414761, 0.299933, 0.158722, 0.999982
118, 339318, 339673, 509509500, 20.3805, 5, 7500, 0.00323318, 0.362721, 0.066995, 0.999985
