Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 285271, 339673, 509509500, 20.3805, 35720, 53580000, 3.54536, 0.425077, 0.00280805, 0.88872
8, 284368, 339673, 509509500, 20.3805, 36623, 54934500, 3.59801, 0.447452, 0.00274535, 0.885906
12, 285280, 339673, 509509500, 20.3805, 35711, 53566500, 3.54461, 0.426237, 0.00282491, 0.888748
16, 285467, 339673, 509509500, 20.3805, 35524, 53286000, 3.5219, 0.429311, 0.00284989, 0.88933
20, 283854, 339673, 509509500, 20.3805, 37137, 55705500, 3.63942, 0.430699, 0.00267726, 0.884305
24, 284077, 339673, 509509500, 20.3805, 36914, 55371000, 3.61707, 0.427541, 0.00266636, 0.885
28, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
32, 285469, 339673, 509509500, 20.3805, 35522, 53283000, 3.52111, 0.428963, 0.0028148, 0.889336
36, 282334, 339673, 509509500, 20.3805, 38657, 57985500, 3.74959, 0.418784, 0.00251398, 0.87957
40, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
44, 285504, 339673, 509509500, 20.3805, 35487, 53230500, 3.51237, 0.432228, 0.00285259, 0.889445
48, 285278, 339673, 509509500, 20.3805, 35713, 53569500, 3.5444, 0.424586, 0.00283003, 0.888741
52, 285514, 339673, 509509500, 20.3805, 35477, 53215500, 3.51674, 0.430995, 0.00280899, 0.889477
56, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
60, 285485, 339673, 509509500, 20.3805, 35506, 53259000, 3.51836, 0.430734, 0.00282786, 0.889386
64, 285475, 339673, 509509500, 20.3805, 35516, 53274000, 3.51458, 0.432578, 0.00282916, 0.889355
68, 285501, 339673, 509509500, 20.3805, 35490, 53235000, 3.51307, 0.432662, 0.00281493, 0.889436
72, 285374, 339673, 509509500, 20.3805, 35617, 53425500, 3.52057, 0.43499, 0.0028277, 0.889041
76, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
80, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
84, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
88, 285372, 339673, 509509500, 20.3805, 35619, 53428500, 3.53279, 0.429384, 0.00280094, 0.889034
92, 285492, 339673, 509509500, 20.3805, 35499, 53248500, 3.51359, 0.432535, 0.00284944, 0.889408
