Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 239931, 339673, 509509500, 20.3805, 81060, 121590000, 8.07029, 1.70742, 0.00200334, 0.74747
8, 254674, 339673, 509509500, 20.3805, 66317, 99475500, 6.58332, 1.71599, 0.00228793, 0.793399
12, 206851, 339673, 509509500, 20.3805, 132065, 198097500, 7.92393, 0.579059, 0.00104489, 0.610331
16, 224347, 339673, 509509500, 20.3805, 96644, 144966000, 9.61891, 1.54926, 0.00177051, 0.69892
20, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
24, 238204, 339673, 509509500, 20.3805, 99506, 149259000, 5.97104, 1.16335, 0.00141298, 0.705351
28, 179940, 339673, 509509500, 20.3805, 156040, 234060000, 9.36257, 1.37909, 0.00178134, 0.535568
32, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
36, 214402, 339673, 509509500, 20.3805, 124301, 186451500, 7.45853, 0.705272, 0.00115819, 0.633009
40, 249961, 339673, 509509500, 20.3805, 71030, 106545000, 7.04814, 1.74484, 0.00220698, 0.778717
44, 259136, 339673, 509509500, 20.3805, 61855, 92782500, 6.15293, 1.67864, 0.00238681, 0.8073
48, 246501, 339673, 509509500, 20.3805, 74490, 111735000, 7.39907, 1.68054, 0.0021183, 0.767937
52, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
56, 267002, 339673, 509509500, 20.3805, 53989, 80983500, 5.37057, 1.76177, 0.00271, 0.831805
60, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
64, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
68, 233592, 339673, 509509500, 20.3805, 105143, 157714500, 6.30862, 0.988915, 0.00139846, 0.689601
72, 194243, 339673, 509509500, 20.3805, 143812, 215718000, 8.62906, 1.28618, 0.00190156, 0.57459
76, 251555, 339673, 509509500, 20.3805, 69436, 104154000, 6.8253, 1.72521, 0.00222465, 0.783682
80, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
84, 248765, 339673, 509509500, 20.3805, 72226, 108339000, 7.11709, 1.66718, 0.00217397, 0.774991
88, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
92, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
96, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
100, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
