Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 331416, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
5, 358329, 339673, 509509500, 20.3805, 821, 1231500, 0.0518446, 1.58711, 0.0239132, 0.997714
9, 356562, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
13, 342884, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
17, 368424, 339673, 509509500, 20.3805, 124, 186000, 0.0181179, 0.0582629, 0.00969558, 0.999664
21, 331294, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
25, 321055, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
29, 376902, 339673, 509509500, 20.3805, 971, 1456500, 0.0798302, 2.88329, 0.0346003, 0.99743
33, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
37, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
41, 374262, 339673, 509509500, 20.3805, 55, 82500, 0.00501167, 4.06142, 0.101857, 0.999853
45, 342407, 339673, 509509500, 20.3805, 10, 15000, 0.00148827, 7.98063, 0.0406054, 0.999971
49, 388388, 339673, 509509500, 20.3805, 114, 171000, 0.00691533, 5.74171, 0.27288, 0.999707
53, 321055, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
57, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
61, 371828, 339673, 509509500, 20.3805, 254, 381000, 0.0250476, 2.13752, 0.060024, 0.999317
65, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
69, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
73, 360055, 339673, 509509500, 20.3805, 816, 1224000, 0.054452, 4.66568, 0.0436857, 0.997739
