Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
7, 337129, 339673, 509509500, 20.3805, 2544, 3816000, 19.6119, 0.122545, 0.00115381, 0.99251
11, 320594, 339673, 509509500, 20.3805, 397, 595500, 3.21011, 0.0619166, 0.00414221, 0.998763
15, 320465, 339673, 509509500, 20.3805, 526, 789000, 0.0520864, 1.93886, 0.0674883, 0.998361
19, 200562, 339673, 509509500, 20.3805, 139111, 208666500, 20.121, 0.0543912, 0.00114867, 0.590456
23, 309829, 339673, 509509500, 20.3805, 11162, 16743000, 17.7075, 0.258263, 0.00120915, 0.965226
27, 117197, 339673, 509509500, 20.3805, 203794, 305691000, 20.3381, 0.0219949, 0.00111103, 0.36511
31, 327885, 339673, 509509500, 20.3805, 11788, 17682000, 19.0072, 0.0950427, 0.00117344, 0.965296
35, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
39, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
43, 316870, 339673, 509509500, 20.3805, 22803, 34204500, 20.2531, 0.092409, 0.00114747, 0.932868
47, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
51, 338808, 339673, 509509500, 20.3805, 865, 1297500, 3.02606, 0.732632, 0.00409245, 0.997453
55, 117196, 339673, 509509500, 20.3805, 203795, 305692500, 20.1418, 0.0473769, 0.00114599, 0.365107
59, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
63, 334133, 339673, 509509500, 20.3805, 5540, 8310000, 19.807, 0.0603395, 0.00115457, 0.98369
67, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
71, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
75, 176882, 339673, 509509500, 20.3805, 162784, 244176000, 9.76728, 0.0184995, 0.0011156, 0.520753
