Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 84242, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
6, 84180, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
10, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
14, 84238, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
18, 84207, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
22, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
26, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
30, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
34, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
38, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
42, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
46, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
50, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
54, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
58, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
62, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
66, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
70, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
74, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
78, 84189, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
82, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
86, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
90, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
94, 84179, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
98, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
102, 84183, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
