Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 36771, 84918, 127377000, 10.1903, 47957, 71935500, 5.7281, 0.630722, 0.000949026, 0.433989
8, 35285, 84918, 127377000, 10.1903, 49633, 74449500, 5.93987, 0.644086, 0.00112589, 0.415519
12, 35355, 84918, 127377000, 10.1903, 49563, 74344500, 5.9372, 0.667576, 0.00111062, 0.416343
16, 35280, 84918, 127377000, 10.1903, 49638, 74457000, 5.93747, 0.643374, 0.00116921, 0.41546
20, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
24, 35238, 84918, 127377000, 10.1903, 49680, 74520000, 5.93889, 0.639712, 0.00113236, 0.414965
28, 35365, 84918, 127377000, 10.1903, 49553, 74329500, 5.93271, 0.646847, 0.00109065, 0.416461
32, 35335, 84918, 127377000, 10.1903, 49583, 74374500, 5.93741, 0.669579, 0.00108542, 0.416107
36, 35421, 84918, 127377000, 10.1903, 49497, 74245500, 5.93388, 0.6598, 0.00109013, 0.41712
40, 35822, 84918, 127377000, 10.1903, 49094, 73641000, 5.86652, 0.6704, 0.0010802, 0.421852
44, 35392, 84918, 127377000, 10.1903, 49526, 74289000, 5.93596, 0.651977, 0.00108971, 0.416779
48, 35413, 84918, 127377000, 10.1903, 49505, 74257500, 5.93082, 0.667347, 0.00110689, 0.417026
52, 35820, 84918, 127377000, 10.1903, 49098, 73647000, 5.86713, 0.670148, 0.00111429, 0.421819
