Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 32, 84918, 127377000, 10.1903, 84884, 127326000, 10.186, 0.00255229, 0.00153339, 0.000376843
7, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
11, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
15, 8, 84918, 127377000, 10.1903, 84910, 127365000, 10.1891, 0.00266698, 0.00155547, 9.42085e-05
19, 97, 84918, 127377000, 10.1903, 84821, 127231500, 10.1784, 0.0028799, 0.00157391, 0.00114228
23, 63, 84918, 127377000, 10.1903, 84855, 127282500, 10.1825, 0.00306198, 0.00162748, 0.000741892
27, 76426, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
31, 4, 84918, 127377000, 10.1903, 84914, 127371000, 10.1895, 0.00321735, 0.00166526, 4.71043e-05
35, 14, 84918, 127377000, 10.1903, 84904, 127356000, 10.1883, 0.00337515, 0.00171854, 0.000164865
39, 1, 84918, 127377000, 10.1903, 84917, 127375500, 10.1899, 0.003528, 0.00178264, 1.17761e-05
