Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 83622, 84918, 127377000, 10.1903, 13, 19500, 0.00164508, 1.2049, 0.263756, 0.999845
5, 77351, 84918, 127377000, 10.1903, 7015, 10522500, 0.83565, 0.643065, 0.0103174, 0.91685
9, 77890, 84918, 127377000, 10.1903, 6437, 9655500, 0.766466, 0.700972, 0.0104437, 0.923666
13, 77370, 84918, 127377000, 10.1903, 6822, 10233000, 0.812632, 0.595813, 0.0093709, 0.918971
17, 76978, 84918, 127377000, 10.1903, 7414, 11121000, 0.882795, 0.714002, 0.0112751, 0.912148
21, 76645, 84918, 127377000, 10.1903, 7794, 11691000, 0.928005, 0.723703, 0.0114798, 0.907697
25, 77366, 84918, 127377000, 10.1903, 6863, 10294500, 0.815708, 0.787412, 0.011011, 0.91852
29, 76948, 84918, 127377000, 10.1903, 7556, 11334000, 0.899648, 0.616717, 0.0106053, 0.910584
33, 77374, 84918, 127377000, 10.1903, 6868, 10302000, 0.817793, 0.608938, 0.0102969, 0.918473
37, 77175, 84918, 127377000, 10.1903, 7106, 10659000, 0.844584, 0.676727, 0.0106903, 0.915687
41, 76540, 84918, 127377000, 10.1903, 7457, 11185500, 0.886265, 0.633006, 0.00996981, 0.911223
45, 76771, 84918, 127377000, 10.1903, 7483, 11224500, 0.889413, 0.591989, 0.0108613, 0.911185
