Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 83907, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
6, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
10, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
14, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
18, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
22, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
26, 83842, 84918, 127377000, 10.1903, 1, 1500, 0.786703, 0.0152535, 0, 0.999988
30, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
34, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
38, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
42, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
46, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
50, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
54, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
58, 83843, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
62, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
