Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 31913, 84918, 127377000, 10.1903, 52730, 79095000, 6.32778, 0.586346, 0.000874514, 0.377031
8, 31756, 84918, 127377000, 10.1903, 52893, 79339500, 6.34731, 0.583931, 0.000888685, 0.375149
12, 32588, 84918, 127377000, 10.1903, 51788, 77682000, 6.21466, 0.604233, 0.000943443, 0.386224
16, 31967, 84918, 127377000, 10.1903, 52656, 78984000, 6.31885, 0.588561, 0.000898916, 0.377758
20, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
24, 31765, 84918, 127377000, 10.1903, 52878, 79317000, 6.34547, 0.584866, 0.000886746, 0.375282
28, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
32, 31959, 84918, 127377000, 10.1903, 52720, 79080000, 6.32648, 0.584356, 0.000969156, 0.377414
36, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
40, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
44, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
48, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
52, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
56, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
60, 31758, 84918, 127377000, 10.1903, 52891, 79336500, 6.34717, 0.584252, 0.000969177, 0.375173
64, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
68, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
72, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
76, 31735, 84918, 127377000, 10.1903, 52892, 79338000, 6.34727, 0.585522, 0.000939299, 0.374999
80, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
84, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
88, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
92, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
96, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
100, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
104, 31743, 84918, 127377000, 10.1903, 52884, 79326000, 6.34628, 0.585392, 0.00090764, 0.375093
