Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 83210, 84918, 127377000, 10.1903, 294, 441000, 1.69729, 0.802947, 0.00781163, 0.996479
5, 83273, 84918, 127377000, 10.1903, 168, 252000, 0.950713, 1.24344, 0.00696582, 0.997987
9, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
13, 83275, 84918, 127377000, 10.1903, 168, 252000, 0.959139, 1.1708, 0.00707118, 0.997987
17, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
21, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
25, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
29, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
33, 83436, 84918, 127377000, 10.1903, 10, 15000, 0.0714487, 1.13058, 0.0528928, 0.99988
37, 83275, 84918, 127377000, 10.1903, 168, 252000, 0.954809, 1.16125, 0.0074029, 0.997987
41, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
45, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
49, 83316, 84918, 127377000, 10.1903, 126, 189000, 0.700357, 1.39263, 0.00823577, 0.99849
53, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
57, 83335, 84918, 127377000, 10.1903, 169, 253500, 0.935799, 1.25429, 0.00831226, 0.997976
61, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
