Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
7, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
11, 2005, 84918, 127377000, 10.1903, 82676, 124014000, 9.92162, 0.00291027, 0.00181831, 0.0236771
15, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
19, 1988, 84918, 127377000, 10.1903, 82700, 124050000, 9.92436, 0.00299087, 0.00183394, 0.0234744
23, 1874, 84918, 127377000, 10.1903, 82824, 124236000, 9.93907, 0.00306239, 0.00184892, 0.0221257
27, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
31, 1567, 84918, 127377000, 10.1903, 83163, 124744500, 9.9799, 0.00312136, 0.00184493, 0.018494
35, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
39, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
43, 1898, 84918, 127377000, 10.1903, 82787, 124180500, 9.93488, 0.00319822, 0.00187412, 0.0224125
47, 1903, 84918, 127377000, 10.1903, 82790, 124185000, 9.93554, 0.00327143, 0.00188388, 0.0224694
51, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
55, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
59, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
63, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
67, 1732, 84918, 127377000, 10.1903, 82963, 124444500, 9.95611, 0.00332481, 0.00189532, 0.0204498
