Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 64533, 84918, 127377000, 10.1903, 20006, 30009000, 2.40228, 0.40987, 0.00925276, 0.763352
5, 64476, 84918, 127377000, 10.1903, 19990, 29985000, 2.40049, 0.430871, 0.00949291, 0.763337
9, 64571, 84918, 127377000, 10.1903, 20023, 30034500, 2.40368, 0.451811, 0.00948324, 0.763305
13, 64583, 84918, 127377000, 10.1903, 20004, 30006000, 2.40142, 0.427936, 0.00942011, 0.76351
17, 64655, 84918, 127377000, 10.1903, 20134, 30201000, 2.41705, 0.415129, 0.00954664, 0.76254
21, 64716, 84918, 127377000, 10.1903, 20071, 30106500, 2.40957, 0.395743, 0.00896833, 0.763277
25, 64499, 84918, 127377000, 10.1903, 20073, 30109500, 2.4103, 0.411043, 0.00935529, 0.762652
29, 65059, 84918, 127377000, 10.1903, 19715, 29572500, 2.36777, 0.488116, 0.0056303, 0.76744
33, 64466, 84918, 127377000, 10.1903, 20047, 30070500, 2.40667, 0.436003, 0.00931456, 0.762794
37, 64512, 84918, 127377000, 10.1903, 20015, 30022500, 2.40344, 0.41381, 0.00949317, 0.763212
41, 64781, 84918, 127377000, 10.1903, 19993, 29989500, 2.40107, 0.401292, 0.00944538, 0.764161
45, 64765, 84918, 127377000, 10.1903, 20026, 30039000, 2.40412, 0.396612, 0.00956928, 0.763819
49, 64846, 84918, 127377000, 10.1903, 19993, 29989500, 2.40091, 0.403116, 0.00944484, 0.764342
53, 64504, 84918, 127377000, 10.1903, 20028, 30042000, 2.40476, 0.463304, 0.00949383, 0.763072
57, 64826, 84918, 127377000, 10.1903, 20018, 30027000, 2.40389, 0.403337, 0.00943237, 0.764061
61, 64768, 84918, 127377000, 10.1903, 19977, 29965500, 2.39882, 0.413018, 0.00944823, 0.764269
65, 64765, 84918, 127377000, 10.1903, 20003, 30004500, 2.40197, 0.409641, 0.0094156, 0.764027
69, 64444, 84918, 127377000, 10.1903, 19997, 29995500, 2.40143, 0.392835, 0.00955732, 0.763184
73, 64809, 84918, 127377000, 10.1903, 19953, 29929500, 2.39534, 0.406353, 0.00935272, 0.7646
77, 64515, 84918, 127377000, 10.1903, 20011, 30016500, 2.40298, 0.481244, 0.00936124, 0.763256
81, 64533, 84918, 127377000, 10.1903, 20060, 30090000, 2.4081, 0.421994, 0.00953992, 0.762865
85, 64563, 84918, 127377000, 10.1903, 20036, 30054000, 2.4057, 0.417063, 0.00942236, 0.763165
89, 64663, 84918, 127377000, 10.1903, 20012, 30018000, 2.4028, 0.406911, 0.0093857, 0.763661
93, 64547, 84918, 127377000, 10.1903, 20009, 30013500, 2.40292, 0.436597, 0.00954087, 0.763364
97, 64486, 84918, 127377000, 10.1903, 20008, 30012000, 2.40288, 0.439453, 0.00965765, 0.763202
101, 64820, 84918, 127377000, 10.1903, 19958, 29937000, 2.39581, 0.40404, 0.00926784, 0.764585
105, 64751, 84918, 127377000, 10.1903, 20057, 30085500, 2.40771, 0.406407, 0.00954343, 0.763501
