Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 203, 84918, 127377000, 10.1903, 84685, 127027500, 10.1634, 0.00516635, 0.00205831, 0.00239139
7, 158, 84918, 127377000, 10.1903, 84730, 127095000, 10.1687, 0.00519643, 0.00205945, 0.00186128
11, 30, 84918, 127377000, 10.1903, 84882, 127323000, 10.1867, 0.00517177, 0.00202738, 0.000353307
15, 210, 84918, 127377000, 10.1903, 84683, 127024500, 10.1624, 0.00528195, 0.00206555, 0.0024737
19, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
23, 183, 84918, 127377000, 10.1903, 84714, 127071000, 10.1659, 0.00531487, 0.0020674, 0.00215555
27, 1042, 84918, 127377000, 10.1903, 83844, 125766000, 10.0631, 0.00536261, 0.0020816, 0.0122753
31, 171, 84918, 127377000, 10.1903, 84719, 127078500, 10.1678, 0.00537736, 0.00207093, 0.00201437
35, 196, 84918, 127377000, 10.1903, 84698, 127047000, 10.1645, 0.00540298, 0.00207323, 0.00230876
39, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
43, 159, 84918, 127377000, 10.1903, 84735, 127102500, 10.1688, 0.00543936, 0.00207484, 0.00187292
47, 172, 84918, 127377000, 10.1903, 84716, 127074000, 10.1673, 0.00547832, 0.00207692, 0.0020262
51, 186, 84918, 127377000, 10.1903, 84707, 127060500, 10.1657, 0.00551176, 0.00207937, 0.00219099
55, 162, 84918, 127377000, 10.1903, 84734, 127101000, 10.1685, 0.00553934, 0.00208097, 0.00190822
59, 193, 84918, 127377000, 10.1903, 84691, 127036500, 10.1646, 0.00556577, 0.00208264, 0.00227369
