Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 65569, 84918, 127377000, 10.1903, 19162, 28743000, 2.29947, 1.03074, 0.00283029, 0.773849
8, 65590, 84918, 127377000, 10.1903, 19107, 28660500, 2.29289, 1.04152, 0.00282453, 0.774408
12, 65612, 84918, 127377000, 10.1903, 19114, 28671000, 2.29373, 1.03428, 0.00280729, 0.774402
16, 65476, 84918, 127377000, 10.1903, 19163, 28744500, 2.29969, 1.03587, 0.00281866, 0.773591
20, 65593, 84918, 127377000, 10.1903, 19067, 28600500, 2.28816, 1.04655, 0.00283365, 0.774781
24, 65608, 84918, 127377000, 10.1903, 19085, 28627500, 2.29032, 1.03919, 0.00281847, 0.774657
28, 65582, 84918, 127377000, 10.1903, 19125, 28687500, 2.29509, 1.03646, 0.00281261, 0.774222
32, 65675, 84918, 127377000, 10.1903, 19082, 28623000, 2.28995, 1.038, 0.00281598, 0.774862
36, 65694, 84918, 127377000, 10.1903, 19112, 28668000, 2.29354, 1.03233, 0.00283291, 0.774639
40, 65487, 84918, 127377000, 10.1903, 19165, 28747500, 2.29987, 1.03813, 0.00281535, 0.773603
44, 65585, 84918, 127377000, 10.1903, 19153, 28729500, 2.29844, 1.03334, 0.00280974, 0.773974
48, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
52, 65641, 84918, 127377000, 10.1903, 19081, 28621500, 2.28978, 1.04318, 0.00282303, 0.774781
