Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 81957, 84918, 127377000, 10.1903, 2138, 3207000, 0.256713, 0.887607, 0.029156, 0.974576
6, 82440, 84918, 127377000, 10.1903, 2108, 3162000, 0.253125, 0.895271, 0.0336818, 0.975067
10, 82475, 84918, 127377000, 10.1903, 1607, 2410500, 0.192842, 0.888186, 0.0319789, 0.980888
14, 82219, 84918, 127377000, 10.1903, 1858, 2787000, 0.222972, 0.862193, 0.0299773, 0.977901
18, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
22, 82623, 84918, 127377000, 10.1903, 1633, 2449500, 0.196079, 0.889116, 0.0294951, 0.980619
26, 82430, 84918, 127377000, 10.1903, 1666, 2499000, 0.199926, 0.878779, 0.0286384, 0.980189
30, 82004, 84918, 127377000, 10.1903, 2107, 3160500, 0.252913, 0.86332, 0.0309272, 0.97495
34, 83878, 84918, 127377000, 10.1903, 46, 69000, 0.00570246, 0.87079, 0.142275, 0.999452
38, 82620, 84918, 127377000, 10.1903, 1517, 2275500, 0.182045, 0.898404, 0.0323044, 0.98197
42, 82490, 84918, 127377000, 10.1903, 1624, 2436000, 0.194999, 0.8561, 0.0311668, 0.980693
46, 82519, 84918, 127377000, 10.1903, 1558, 2337000, 0.187069, 0.876052, 0.0317258, 0.981469
50, 82139, 84918, 127377000, 10.1903, 1955, 2932500, 0.234755, 0.870572, 0.0313736, 0.976752
54, 82266, 84918, 127377000, 10.1903, 1822, 2733000, 0.218786, 0.889472, 0.0311824, 0.978332
58, 82518, 84918, 127377000, 10.1903, 1672, 2508000, 0.200643, 0.887917, 0.0294806, 0.98014
62, 82371, 84918, 127377000, 10.1903, 1743, 2614500, 0.209169, 0.870627, 0.0291787, 0.979278
66, 82304, 84918, 127377000, 10.1903, 1767, 2650500, 0.212177, 0.886246, 0.028773, 0.978982
70, 82210, 84918, 127377000, 10.1903, 1864, 2796000, 0.223824, 0.874413, 0.0278368, 0.977829
74, 82487, 84918, 127377000, 10.1903, 1742, 2613000, 0.209047, 0.874703, 0.0316317, 0.979318
78, 82150, 84918, 127377000, 10.1903, 1979, 2968500, 0.237485, 0.882977, 0.0288223, 0.976477
82, 82799, 84918, 127377000, 10.1903, 1604, 2406000, 0.192487, 0.957942, 0.0312076, 0.980996
86, 82582, 84918, 127377000, 10.1903, 1968, 2952000, 0.236166, 0.913647, 0.0303198, 0.976724
90, 82192, 84918, 127377000, 10.1903, 1888, 2832000, 0.226696, 0.878925, 0.0275314, 0.977545
