Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 83831, 84918, 127377000, 10.1903, 711, 1066500, 3.31404, 0.448105, 0.00645182, 0.99159
7, 83810, 84918, 127377000, 10.1903, 732, 1098000, 3.4168, 0.429097, 0.00622836, 0.991342
11, 83954, 84918, 127377000, 10.1903, 588, 882000, 3.05014, 0.567355, 0.0042174, 0.993045
15, 83828, 84918, 127377000, 10.1903, 650, 975000, 3.04798, 0.506519, 0.00651235, 0.992306
19, 83883, 84918, 127377000, 10.1903, 659, 988500, 3.27717, 0.493315, 0.00631561, 0.992205
23, 83844, 84918, 127377000, 10.1903, 698, 1047000, 3.26691, 0.452459, 0.00663997, 0.991744
27, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
31, 83833, 84918, 127377000, 10.1903, 645, 967500, 3.02269, 0.508903, 0.00691123, 0.992365
35, 83850, 84918, 127377000, 10.1903, 692, 1038000, 3.23762, 0.472662, 0.00665834, 0.991815
39, 83836, 84918, 127377000, 10.1903, 642, 963000, 3.2055, 0.491947, 0.00585635, 0.9924
43, 83811, 84918, 127377000, 10.1903, 731, 1096500, 3.41865, 0.43343, 0.00634531, 0.991353
47, 83832, 84918, 127377000, 10.1903, 646, 969000, 3.22026, 0.496078, 0.00612857, 0.992353
51, 83846, 84918, 127377000, 10.1903, 696, 1044000, 3.25385, 0.459666, 0.00656216, 0.991767
55, 83844, 84918, 127377000, 10.1903, 698, 1047000, 3.25234, 0.467465, 0.00655914, 0.991744
59, 83755, 84918, 127377000, 10.1903, 724, 1086000, 3.38376, 0.47642, 0.00559006, 0.99143
63, 84378, 84918, 127377000, 10.1903, 335, 502500, 1.66763, 0.332425, 0.0130274, 0.996045
67, 83806, 84918, 127377000, 10.1903, 736, 1104000, 3.43339, 0.441444, 0.00622622, 0.991294
71, 83846, 84918, 127377000, 10.1903, 696, 1044000, 3.24541, 0.46316, 0.00657173, 0.991767
75, 83835, 84918, 127377000, 10.1903, 643, 964500, 3.19631, 0.482149, 0.00635029, 0.992389
79, 84326, 84918, 127377000, 10.1903, 387, 580500, 1.92791, 0.265665, 0.0110112, 0.995432
83, 83835, 84918, 127377000, 10.1903, 643, 964500, 3.20192, 0.487574, 0.00645417, 0.992389
87, 83836, 84918, 127377000, 10.1903, 642, 963000, 3.19487, 0.494186, 0.00635226, 0.9924
91, 83783, 84918, 127377000, 10.1903, 695, 1042500, 3.23413, 0.458246, 0.00658637, 0.991773
95, 84223, 84918, 127377000, 10.1903, 268, 402000, 1.33763, 0.33935, 0.0101727, 0.996828
99, 83794, 84918, 127377000, 10.1903, 684, 1026000, 3.18517, 0.485481, 0.00652422, 0.991903
103, 84223, 84918, 127377000, 10.1903, 270, 405000, 1.34693, 0.343778, 0.00987267, 0.996804
107, 83831, 84918, 127377000, 10.1903, 646, 969000, 3.02564, 0.503376, 0.00681037, 0.992353
