Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 82226, 84918, 127377000, 10.1903, 2027, 3040500, 0.243693, 0.819262, 0.0276876, 0.975942
8, 82137, 84918, 127377000, 10.1903, 2095, 3142500, 0.251867, 0.834001, 0.0284083, 0.975128
12, 82175, 84918, 127377000, 10.1903, 2121, 3181500, 0.254992, 0.835243, 0.0286104, 0.974839
16, 82012, 84918, 127377000, 10.1903, 2297, 3445500, 0.276149, 0.841083, 0.0270553, 0.972755
20, 81074, 84918, 127377000, 10.1903, 3357, 5035500, 0.403106, 0.82486, 0.0264337, 0.96024
24, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
28, 81969, 84918, 127377000, 10.1903, 2351, 3526500, 0.28235, 0.836125, 0.0261161, 0.972118
32, 81820, 84918, 127377000, 10.1903, 2496, 3744000, 0.299761, 0.827797, 0.0259222, 0.970397
36, 81736, 84918, 127377000, 10.1903, 2557, 3835500, 0.30708, 0.833862, 0.0262954, 0.969665
40, 81638, 84918, 127377000, 10.1903, 2673, 4009500, 0.321009, 0.827785, 0.0244991, 0.968296
44, 81656, 84918, 127377000, 10.1903, 2663, 3994500, 0.32014, 0.839929, 0.0246889, 0.968418
48, 82612, 84918, 127377000, 10.1903, 1881, 2821500, 0.226141, 0.860232, 0.0272525, 0.977738
52, 81580, 84918, 127377000, 10.1903, 2734, 4101000, 0.328331, 0.837408, 0.024494, 0.967574
56, 81534, 84918, 127377000, 10.1903, 2776, 4164000, 0.333374, 0.825703, 0.0241729, 0.967074
60, 81769, 84918, 127377000, 10.1903, 2806, 4209000, 0.336972, 0.843363, 0.0237293, 0.966822
64, 81066, 84918, 127377000, 10.1903, 3360, 5040000, 0.403464, 0.823848, 0.0267062, 0.960202
68, 81783, 84918, 127377000, 10.1903, 2846, 4269000, 0.341775, 0.844148, 0.0236832, 0.966371
72, 81742, 84918, 127377000, 10.1903, 2911, 4366500, 0.349575, 0.843317, 0.0237393, 0.965613
76, 82973, 84918, 127377000, 10.1903, 1206, 1809000, 0.14535, 0.824075, 0.0387928, 0.985673
80, 81381, 84918, 127377000, 10.1903, 3053, 4579500, 0.366623, 0.854909, 0.0246411, 0.963842
84, 81267, 84918, 127377000, 10.1903, 3288, 4932000, 0.394841, 0.843914, 0.0300098, 0.961114
88, 81215, 84918, 127377000, 10.1903, 3078, 4617000, 0.370044, 0.825382, 0.0272346, 0.963485
92, 81020, 84918, 127377000, 10.1903, 3362, 5043000, 0.403722, 0.817512, 0.0264005, 0.960157
96, 81081, 84918, 127377000, 10.1903, 3333, 4999500, 0.400232, 0.827764, 0.0269614, 0.960516
100, 81063, 84918, 127377000, 10.1903, 3373, 5059500, 0.405033, 0.817289, 0.0268496, 0.960053
104, 81051, 84918, 127377000, 10.1903, 3386, 5079000, 0.406592, 0.821174, 0.0266538, 0.959899
108, 81026, 84918, 127377000, 10.1903, 3372, 5058000, 0.404909, 0.819982, 0.0265694, 0.960046
