Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 2408, 84918, 127377000, 10.1903, 82442, 123663000, 9.8936, 0.078111, 0.00234926, 0.0283795
5, 2476, 84918, 127377000, 10.1903, 82327, 123490500, 9.88477, 0.0780123, 0.0023633, 0.0291971
9, 2423, 84918, 127377000, 10.1903, 82396, 123594000, 9.89347, 0.0691438, 0.00234436, 0.0285667
13, 2520, 84918, 127377000, 10.1903, 82289, 123433500, 9.8801, 0.0778511, 0.00236398, 0.0297138
17, 2498, 84918, 127377000, 10.1903, 82306, 123459000, 9.88203, 0.0779533, 0.00236355, 0.0294562
21, 2502, 84918, 127377000, 10.1903, 82316, 123474000, 9.87811, 0.079306, 0.00236443, 0.0294985
25, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
29, 2523, 84918, 127377000, 10.1903, 82252, 123378000, 9.87802, 0.0764826, 0.00236295, 0.0297611
33, 2468, 84918, 127377000, 10.1903, 82357, 123535500, 9.88851, 0.0652459, 0.00234997, 0.0290952
37, 2564, 84918, 127377000, 10.1903, 82236, 123354000, 9.86875, 0.0778156, 0.00236564, 0.0302358
41, 2600, 84918, 127377000, 10.1903, 82223, 123334500, 9.86711, 0.0773747, 0.00236536, 0.0306521
45, 2444, 84918, 127377000, 10.1903, 82408, 123612000, 9.89306, 0.0690236, 0.00234614, 0.0288031
49, 2504, 84918, 127377000, 10.1903, 82281, 123421500, 9.87956, 0.069217, 0.00235688, 0.0295335
