Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 84152, 84918, 127377000, 10.1903, 167, 250500, 0.0459499, 0.897612, 0.0706142, 0.998019
6, 84169, 84918, 127377000, 10.1903, 164, 246000, 0.0455981, 0.959091, 0.0709384, 0.998055
10, 84148, 84918, 127377000, 10.1903, 165, 247500, 0.045442, 0.976447, 0.0690548, 0.998043
14, 84169, 84918, 127377000, 10.1903, 162, 243000, 0.0445354, 0.899848, 0.0776148, 0.998079
18, 84159, 84918, 127377000, 10.1903, 153, 229500, 0.0420894, 0.971918, 0.0728151, 0.998185
22, 84159, 84918, 127377000, 10.1903, 165, 247500, 0.0453505, 0.967956, 0.0743573, 0.998043
26, 84130, 84918, 127377000, 10.1903, 165, 247500, 0.0453729, 0.910941, 0.0698538, 0.998043
30, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
34, 84163, 84918, 127377000, 10.1903, 152, 228000, 0.0419831, 0.907514, 0.0730224, 0.998197
38, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
42, 84184, 84918, 127377000, 10.1903, 156, 234000, 0.0428722, 0.980374, 0.0798632, 0.99815
46, 84130, 84918, 127377000, 10.1903, 162, 243000, 0.0445203, 1.00238, 0.0733024, 0.998078
50, 84174, 84918, 127377000, 10.1903, 165, 247500, 0.0453397, 0.960086, 0.0837931, 0.998044
54, 84176, 84918, 127377000, 10.1903, 122, 183000, 0.0336345, 2.37335, 0.222721, 0.998553
58, 84165, 84918, 127377000, 10.1903, 167, 250500, 0.0458823, 0.978135, 0.0643529, 0.99802
62, 84117, 84918, 127377000, 10.1903, 172, 258000, 0.0475576, 0.984833, 0.0641055, 0.997959
66, 84137, 84918, 127377000, 10.1903, 166, 249000, 0.0456223, 0.960079, 0.0751313, 0.998031
70, 84175, 84918, 127377000, 10.1903, 161, 241500, 0.04439, 0.968752, 0.0723921, 0.998091
74, 84131, 84918, 127377000, 10.1903, 166, 249000, 0.0457072, 0.948595, 0.0787514, 0.998031
