Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 81779, 84918, 127377000, 10.1903, 1838, 2757000, 0.220814, 0.953276, 0.0337787, 0.978019
6, 82686, 84918, 127377000, 10.1903, 1571, 2356500, 0.188556, 0.988811, 0.034845, 0.981355
10, 83027, 84918, 127377000, 10.1903, 1241, 1861500, 0.149118, 0.97646, 0.0357539, 0.985273
14, 81237, 84918, 127377000, 10.1903, 1598, 2397000, 0.191792, 0.996268, 0.0364052, 0.980709
18, 83011, 84918, 127377000, 10.1903, 1312, 1968000, 0.157473, 0.996643, 0.0348133, 0.984441
22, 81857, 84918, 127377000, 10.1903, 1853, 2779500, 0.222682, 0.949998, 0.0332632, 0.977864
26, 82696, 84918, 127377000, 10.1903, 1685, 2527500, 0.202496, 0.976934, 0.0351769, 0.980031
30, 82525, 84918, 127377000, 10.1903, 1843, 2764500, 0.221365, 0.966947, 0.0333536, 0.978155
34, 82765, 84918, 127377000, 10.1903, 1719, 2578500, 0.206472, 0.984022, 0.0328415, 0.979653
38, 82085, 84918, 127377000, 10.1903, 1815, 2722500, 0.218016, 0.964575, 0.0353097, 0.978367
42, 82039, 84918, 127377000, 10.1903, 1690, 2535000, 0.20304, 0.970386, 0.0344612, 0.979816
46, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
50, 82253, 84918, 127377000, 10.1903, 1970, 2955000, 0.236617, 0.990346, 0.0318191, 0.97661
54, 82346, 84918, 127377000, 10.1903, 1842, 2763000, 0.221081, 0.964371, 0.0340237, 0.97812
58, 82560, 84918, 127377000, 10.1903, 1763, 2644500, 0.211771, 0.97105, 0.0341476, 0.979092
62, 81534, 84918, 127377000, 10.1903, 1938, 2907000, 0.232589, 0.958172, 0.0324649, 0.976783
66, 83073, 84918, 127377000, 10.1903, 1003, 1504500, 0.120376, 0.961034, 0.0421047, 0.98807
70, 83753, 84918, 127377000, 10.1903, 623, 934500, 0.0748738, 0.974905, 0.0518489, 0.992616
74, 82825, 84918, 127377000, 10.1903, 1705, 2557500, 0.204629, 0.966827, 0.0339727, 0.97983
