Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 71054, 84918, 127377000, 10.1903, 13057, 19585500, 9.37879, 0.108799, 0.00246768, 0.844765
7, 71051, 84918, 127377000, 10.1903, 13053, 19579500, 9.37465, 0.112139, 0.00246285, 0.844799
11, 71150, 84918, 127377000, 10.1903, 12960, 19440000, 9.33701, 0.107399, 0.00245801, 0.845916
15, 71144, 84918, 127377000, 10.1903, 13023, 19534500, 9.37644, 0.10939, 0.00246779, 0.845272
19, 73739, 84918, 127377000, 10.1903, 10428, 15642000, 7.49202, 0.132295, 0.00279404, 0.876103
23, 71153, 84918, 127377000, 10.1903, 13012, 19518000, 9.34692, 0.10942, 0.00246756, 0.845399
27, 71165, 84918, 127377000, 10.1903, 13000, 19500000, 9.36055, 0.113115, 0.00246942, 0.845541
31, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
35, 71213, 84918, 127377000, 10.1903, 12954, 19431000, 9.38106, 0.115483, 0.00241491, 0.846092
39, 71087, 84918, 127377000, 10.1903, 13027, 19540500, 9.38119, 0.111309, 0.00246639, 0.845127
43, 71165, 84918, 127377000, 10.1903, 12945, 19417500, 9.32333, 0.110264, 0.0024584, 0.846094
47, 71094, 84918, 127377000, 10.1903, 13009, 19513500, 9.36884, 0.112878, 0.00246637, 0.845321
51, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
55, 71230, 84918, 127377000, 10.1903, 12936, 19404000, 9.31499, 0.111883, 0.00246339, 0.846304
59, 71094, 84918, 127377000, 10.1903, 13010, 19515000, 9.34429, 0.11105, 0.00246864, 0.845311
