Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 79880, 84918, 127377000, 10.1903, 4551, 6826500, 0.555531, 0.394192, 0.021824, 0.946098
5, 83957, 84918, 127377000, 10.1903, 26, 39000, 0.0032676, 0.811001, 0.214508, 0.99969
9, 80822, 84918, 127377000, 10.1903, 3527, 5290500, 0.430515, 0.413145, 0.0206137, 0.958186
13, 80819, 84918, 127377000, 10.1903, 3505, 5257500, 0.427815, 0.405654, 0.0222705, 0.958434
17, 80702, 84918, 127377000, 10.1903, 3621, 5431500, 0.44197, 0.418964, 0.022795, 0.957058
21, 80492, 84918, 127377000, 10.1903, 3919, 5878500, 0.478326, 0.416069, 0.0222681, 0.953572
25, 80109, 84918, 127377000, 10.1903, 4276, 6414000, 0.52189, 0.392792, 0.0222346, 0.949327
29, 79958, 84918, 127377000, 10.1903, 4422, 6633000, 0.53963, 0.41601, 0.0225275, 0.947594
33, 80288, 84918, 127377000, 10.1903, 4034, 6051000, 0.492268, 0.39317, 0.0241729, 0.95216
37, 80336, 84918, 127377000, 10.1903, 4006, 6009000, 0.488559, 0.411068, 0.0228336, 0.952503
41, 80218, 84918, 127377000, 10.1903, 4153, 6229500, 0.506494, 0.392181, 0.0226248, 0.950777
45, 80323, 84918, 127377000, 10.1903, 4104, 6156000, 0.500939, 0.393414, 0.0226034, 0.95139
49, 80232, 84918, 127377000, 10.1903, 4107, 6160500, 0.501414, 0.398447, 0.0230644, 0.951304
53, 79959, 84918, 127377000, 10.1903, 4436, 6654000, 0.540372, 0.395535, 0.0219548, 0.947438
57, 83899, 84918, 127377000, 10.1903, 132, 198000, 0.016198, 0.899452, 0.161217, 0.998429
61, 80418, 84918, 127377000, 10.1903, 3977, 5965500, 0.485015, 0.431794, 0.022072, 0.952876
65, 80083, 84918, 127377000, 10.1903, 4347, 6520500, 0.53013, 0.39609, 0.0221466, 0.948514
69, 80341, 84918, 127377000, 10.1903, 4109, 6163500, 0.500533, 0.395897, 0.0219721, 0.951344
73, 80419, 84918, 127377000, 10.1903, 3951, 5926500, 0.482335, 0.432178, 0.0235696, 0.953171
77, 80457, 84918, 127377000, 10.1903, 3892, 5838000, 0.475126, 0.403792, 0.0234681, 0.953858
81, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
85, 80207, 84918, 127377000, 10.1903, 4252, 6378000, 0.518528, 0.420086, 0.0234384, 0.949656
89, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
93, 80193, 84918, 127377000, 10.1903, 4283, 6424500, 0.5223, 0.409612, 0.0237855, 0.949299
97, 80382, 84918, 127377000, 10.1903, 3987, 5980500, 0.486766, 0.464554, 0.0232798, 0.952743
101, 80324, 84918, 127377000, 10.1903, 4081, 6121500, 0.49803, 0.421529, 0.019359, 0.95165
105, 80213, 84918, 127377000, 10.1903, 4185, 6277500, 0.51088, 0.400198, 0.0202228, 0.950414
109, 80114, 84918, 127377000, 10.1903, 4299, 6448500, 0.524793, 0.431841, 0.0208507, 0.949072
113, 80121, 84918, 127377000, 10.1903, 4343, 6514500, 0.530155, 0.38379, 0.0201379, 0.948582
117, 79954, 84918, 127377000, 10.1903, 4460, 6690000, 0.544431, 0.39716, 0.0212076, 0.947165
