Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 72127, 84918, 127377000, 10.1903, 12422, 18633000, 1.49066, 0.485015, 0.00493262, 0.853079
8, 72074, 84918, 127377000, 10.1903, 12501, 18751500, 1.50038, 0.482104, 0.00488345, 0.85219
12, 72081, 84918, 127377000, 10.1903, 12490, 18735000, 1.49905, 0.484265, 0.00497217, 0.852313
16, 72134, 84918, 127377000, 10.1903, 12399, 18598500, 1.48814, 0.486664, 0.00492425, 0.853324
20, 72109, 84918, 127377000, 10.1903, 12457, 18685500, 1.49509, 0.482353, 0.0049383, 0.852695
24, 72149, 84918, 127377000, 10.1903, 12420, 18630000, 1.49042, 0.488311, 0.00493331, 0.853138
28, 72126, 84918, 127377000, 10.1903, 12419, 18628500, 1.49054, 0.486606, 0.00493881, 0.853108
32, 73296, 84918, 127377000, 10.1903, 11139, 16708500, 1.33697, 0.487301, 0.00522634, 0.868076
36, 73045, 84918, 127377000, 10.1903, 11438, 17157000, 1.37259, 0.536639, 0.00500877, 0.864612
40, 72100, 84918, 127377000, 10.1903, 12451, 18676500, 1.49437, 0.485643, 0.00494382, 0.85274
44, 72174, 84918, 127377000, 10.1903, 12422, 18633000, 1.49069, 0.483363, 0.00494672, 0.853161
48, 72118, 84918, 127377000, 10.1903, 12423, 18634500, 1.49101, 0.48598, 0.00494134, 0.853054
52, 72072, 84918, 127377000, 10.1903, 12502, 18753000, 1.50048, 0.478095, 0.00497368, 0.852177
56, 72153, 84918, 127377000, 10.1903, 12399, 18598500, 1.48811, 0.496705, 0.0051525, 0.853357
60, 72043, 84918, 127377000, 10.1903, 12490, 18735000, 1.49903, 0.478264, 0.00500026, 0.852247
64, 72049, 84918, 127377000, 10.1903, 12483, 18724500, 1.49819, 0.480386, 0.00499645, 0.852328
68, 77516, 84918, 127377000, 10.1903, 6406, 9609000, 0.769007, 0.484235, 0.00783802, 0.923667
72, 72068, 84918, 127377000, 10.1903, 12481, 18721500, 1.49794, 0.479637, 0.00501407, 0.852381
76, 72093, 84918, 127377000, 10.1903, 12442, 18663000, 1.49326, 0.47965, 0.0049652, 0.852818
80, 72100, 84918, 127377000, 10.1903, 12465, 18697500, 1.49594, 0.480732, 0.00505782, 0.852599
84, 72112, 84918, 127377000, 10.1903, 12475, 18712500, 1.49714, 0.48708, 0.00499606, 0.852519
88, 72055, 84918, 127377000, 10.1903, 12490, 18735000, 1.49893, 0.482504, 0.0049421, 0.852268
92, 72126, 84918, 127377000, 10.1903, 12424, 18636000, 1.49101, 0.486816, 0.00504812, 0.853057
96, 72172, 84918, 127377000, 10.1903, 12402, 18603000, 1.48848, 0.486118, 0.00490866, 0.853359
100, 72135, 84918, 127377000, 10.1903, 12445, 18667500, 1.49352, 0.482456, 0.00492781, 0.852861
104, 72151, 84918, 127377000, 10.1903, 12400, 18600000, 1.48805, 0.48263, 0.00496709, 0.853343
108, 72192, 84918, 127377000, 10.1903, 12399, 18598500, 1.48803, 0.485131, 0.00502887, 0.853424
112, 72161, 84918, 127377000, 10.1903, 12434, 18651000, 1.49214, 0.485931, 0.00501387, 0.853017
116, 72088, 84918, 127377000, 10.1903, 12474, 18711000, 1.49694, 0.483132, 0.00500722, 0.852487
120, 72159, 84918, 127377000, 10.1903, 12422, 18633000, 1.4907, 0.486788, 0.00491302, 0.853135
