Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 61682, 84918, 127377000, 10.1903, 22839, 34258500, 2.74079, 0.657464, 0.00263429, 0.729783
8, 61706, 84918, 127377000, 10.1903, 22838, 34257000, 2.74065, 0.650997, 0.00247871, 0.729868
12, 61741, 84918, 127377000, 10.1903, 22858, 34287000, 2.743, 0.64817, 0.00249013, 0.729808
16, 61715, 84918, 127377000, 10.1903, 22823, 34234500, 2.73883, 0.650493, 0.00246309, 0.730027
20, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
24, 61774, 84918, 127377000, 10.1903, 22826, 34239000, 2.73916, 0.648737, 0.00249322, 0.730189
28, 61772, 84918, 127377000, 10.1903, 22849, 34273500, 2.74191, 0.64639, 0.00249152, 0.729984
32, 61646, 84918, 127377000, 10.1903, 22844, 34266000, 2.74147, 0.657694, 0.00248277, 0.729625
36, 61710, 84918, 127377000, 10.1903, 22803, 34204500, 2.73644, 0.654661, 0.00248693, 0.730184
40, 61722, 84918, 127377000, 10.1903, 22851, 34276500, 2.74218, 0.647243, 0.00249941, 0.729807
44, 61735, 84918, 127377000, 10.1903, 22841, 34261500, 2.74097, 0.649664, 0.00249712, 0.729935
48, 61672, 84918, 127377000, 10.1903, 22837, 34255500, 2.74062, 0.655841, 0.00248023, 0.729768
52, 71590, 84918, 127377000, 10.1903, 11783, 17674500, 1.41403, 0.655411, 0.0036136, 0.858671
56, 61234, 84918, 127377000, 10.1903, 22703, 34054500, 2.72446, 0.709428, 0.00256283, 0.729523
60, 61583, 84918, 127377000, 10.1903, 22830, 34245000, 2.73973, 0.661436, 0.00261521, 0.729544
64, 61816, 84918, 127377000, 10.1903, 22803, 34204500, 2.73643, 0.650637, 0.00247192, 0.730522
68, 61261, 84918, 127377000, 10.1903, 22705, 34057500, 2.7247, 0.69244, 0.00277766, 0.729593
72, 61762, 84918, 127377000, 10.1903, 22834, 34251000, 2.74013, 0.651152, 0.00249668, 0.730082
76, 61667, 84918, 127377000, 10.1903, 22820, 34230000, 2.73849, 0.65478, 0.00248686, 0.729899
80, 61625, 84918, 127377000, 10.1903, 22850, 34275000, 2.74212, 0.65792, 0.00259788, 0.729506
