Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 83530, 84918, 127377000, 10.1903, 506, 759000, 6.13038, 0.331502, 0.00298293, 0.993979
5, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
9, 83594, 84918, 127377000, 10.1903, 506, 759000, 6.16952, 0.311894, 0.00301984, 0.993983
13, 83550, 84918, 127377000, 10.1903, 486, 729000, 5.91744, 0.336609, 0.00301498, 0.994217
17, 83621, 84918, 127377000, 10.1903, 479, 718500, 5.87986, 0.324925, 0.00308725, 0.994304
21, 83552, 84918, 127377000, 10.1903, 484, 726000, 5.85842, 0.336163, 0.0030773, 0.994241
25, 83577, 84918, 127377000, 10.1903, 523, 784500, 6.40472, 0.307678, 0.00301748, 0.993781
29, 83571, 84918, 127377000, 10.1903, 464, 696000, 5.67598, 0.318368, 0.00311621, 0.994478
33, 83614, 84918, 127377000, 10.1903, 484, 726000, 5.90773, 0.316484, 0.00307578, 0.994245
37, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
41, 83652, 84918, 127377000, 10.1903, 383, 574500, 4.99174, 0.363676, 0.00279212, 0.995442
45, 83615, 84918, 127377000, 10.1903, 484, 726000, 5.94697, 0.322305, 0.00304052, 0.994245
49, 83498, 84918, 127377000, 10.1903, 537, 805500, 6.47994, 0.292376, 0.00287194, 0.99361
53, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
57, 83573, 84918, 127377000, 10.1903, 526, 789000, 6.38653, 0.319677, 0.00295708, 0.993745
61, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
