Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 82546, 84918, 127377000, 10.1903, 1727, 2590500, 9.11172, 0.0113003, 0.00226462, 0.979507
7, 82482, 84918, 127377000, 10.1903, 1791, 2686500, 9.42037, 0.0115025, 0.00214734, 0.978748
11, 82504, 84918, 127377000, 10.1903, 1770, 2655000, 9.30614, 0.0115554, 0.00224833, 0.978997
15, 82506, 84918, 127377000, 10.1903, 1767, 2650500, 9.2866, 0.011677, 0.00225483, 0.979032
19, 84272, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
23, 82509, 84918, 127377000, 10.1903, 1764, 2646000, 9.26622, 0.0120756, 0.00225368, 0.979068
27, 82489, 84918, 127377000, 10.1903, 1784, 2676000, 9.36752, 0.0115802, 0.00224542, 0.978831
31, 82474, 84918, 127377000, 10.1903, 1799, 2698500, 9.4425, 0.0114155, 0.00222558, 0.978653
35, 82475, 84918, 127377000, 10.1903, 1798, 2697000, 9.43343, 0.0114905, 0.00223156, 0.978665
39, 82532, 84918, 127377000, 10.1903, 1739, 2608500, 9.11702, 0.0117475, 0.00227132, 0.979364
43, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
47, 82537, 84918, 127377000, 10.1903, 1798, 2697000, 9.41906, 0.0115565, 0.00223829, 0.97868
51, 82518, 84918, 127377000, 10.1903, 1753, 2629500, 9.17885, 0.0118863, 0.00226996, 0.979198
55, 82510, 84918, 127377000, 10.1903, 1761, 2641500, 9.21754, 0.0117985, 0.00226737, 0.979103
59, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
63, 82489, 84918, 127377000, 10.1903, 1782, 2673000, 9.33856, 0.0118111, 0.00225812, 0.978854
67, 82494, 84918, 127377000, 10.1903, 1777, 2665500, 9.29734, 0.0117203, 0.00225835, 0.978913
71, 82542, 84918, 127377000, 10.1903, 1793, 2689500, 9.40396, 0.0116701, 0.00224709, 0.97874
