Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 82553, 84918, 127377000, 10.1903, 1208, 1812000, 0.145332, 0.965373, 0.0445634, 0.985578
6, 82657, 84918, 127377000, 10.1903, 1176, 1764000, 0.141208, 0.968402, 0.0447209, 0.985972
10, 82362, 84918, 127377000, 10.1903, 1513, 2269500, 0.18182, 0.960406, 0.0414167, 0.981961
14, 82436, 84918, 127377000, 10.1903, 1425, 2137500, 0.171101, 0.962162, 0.0414378, 0.983008
18, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
22, 83405, 84918, 127377000, 10.1903, 315, 472500, 0.0380859, 0.968231, 0.0782047, 0.996237
26, 82400, 84918, 127377000, 10.1903, 1378, 2067000, 0.165786, 0.958441, 0.0412446, 0.983552
30, 83192, 84918, 127377000, 10.1903, 1181, 1771500, 0.141806, 1.02872, 0.0497512, 0.986003
34, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
38, 82541, 84918, 127377000, 10.1903, 1309, 1963500, 0.157174, 0.960875, 0.0387102, 0.984389
42, 82364, 84918, 127377000, 10.1903, 1489, 2233500, 0.178798, 0.97621, 0.0377002, 0.982243
46, 82511, 84918, 127377000, 10.1903, 1371, 2056500, 0.164825, 1.00145, 0.0422027, 0.983656
50, 82663, 84918, 127377000, 10.1903, 1296, 1944000, 0.155794, 1.01264, 0.0408017, 0.984564
54, 82476, 84918, 127377000, 10.1903, 1426, 2139000, 0.171375, 1.00741, 0.0388528, 0.983004
58, 82628, 84918, 127377000, 10.1903, 1421, 2131500, 0.170777, 1.01748, 0.0403789, 0.983093
62, 82319, 84918, 127377000, 10.1903, 1542, 2313000, 0.185165, 0.962723, 0.0370446, 0.981612
66, 83015, 84918, 127377000, 10.1903, 1383, 2074500, 0.166079, 1.07122, 0.0441415, 0.983613
70, 82724, 84918, 127377000, 10.1903, 1319, 1978500, 0.158499, 1.08042, 0.0481074, 0.984306
74, 82418, 84918, 127377000, 10.1903, 1415, 2122500, 0.170038, 0.964239, 0.0411891, 0.983121
78, 82397, 84918, 127377000, 10.1903, 1490, 2235000, 0.179063, 0.965705, 0.0397694, 0.982238
