Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 83534, 84918, 127377000, 10.1903, 674, 1011000, 0.0815292, 0.271232, 0.0253278, 0.991996
5, 83469, 84918, 127377000, 10.1903, 674, 1011000, 0.0815285, 0.284433, 0.0213801, 0.99199
9, 83293, 84918, 127377000, 10.1903, 855, 1282500, 0.103422, 0.28408, 0.0236083, 0.989839
13, 83279, 84918, 127377000, 10.1903, 941, 1411500, 0.114406, 0.281212, 0.0233107, 0.988827
17, 84069, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
21, 83254, 84918, 127377000, 10.1903, 933, 1399500, 0.115569, 0.265601, 0.019724, 0.988918
25, 83910, 84918, 127377000, 10.1903, 83, 124500, 0.0100401, 0.836199, 0.269974, 0.999012
29, 83859, 84918, 127377000, 10.1903, 203, 304500, 0.0258655, 0.4342, 0.038084, 0.997585
33, 83650, 84918, 127377000, 10.1903, 626, 939000, 0.0757239, 0.294789, 0.0143558, 0.992572
37, 83748, 84918, 127377000, 10.1903, 401, 601500, 0.0485067, 0.439551, 0.030396, 0.995235
41, 83669, 84918, 127377000, 10.1903, 386, 579000, 0.0466921, 0.399401, 0.0605534, 0.995408
45, 83504, 84918, 127377000, 10.1903, 677, 1015500, 0.0818925, 0.323995, 0.027399, 0.991958
49, 84051, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
53, 83519, 84918, 127377000, 10.1903, 603, 904500, 0.0738141, 0.310438, 0.0299182, 0.992832
57, 83573, 84918, 127377000, 10.1903, 571, 856500, 0.0698994, 0.280362, 0.0310559, 0.993214
61, 83627, 84918, 127377000, 10.1903, 419, 628500, 0.051292, 0.390951, 0.0412168, 0.995015
65, 83538, 84918, 127377000, 10.1903, 668, 1002000, 0.0812145, 0.292291, 0.0302759, 0.992067
69, 84063, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
73, 83828, 84918, 127377000, 10.1903, 340, 510000, 0.0433176, 0.321864, 0.0310909, 0.99596
77, 83631, 84918, 127377000, 10.1903, 648, 972000, 0.079324, 0.357999, 0.0155834, 0.992311
81, 83629, 84918, 127377000, 10.1903, 526, 789000, 0.0656717, 0.301738, 0.0242848, 0.99375
85, 83634, 84918, 127377000, 10.1903, 617, 925500, 0.0755288, 0.332703, 0.0207331, 0.992677
89, 83502, 84918, 127377000, 10.1903, 707, 1060500, 0.0859554, 0.279867, 0.0171543, 0.991604
93, 83644, 84918, 127377000, 10.1903, 574, 861000, 0.0702646, 0.316868, 0.0294226, 0.993184
97, 83644, 84918, 127377000, 10.1903, 587, 880500, 0.0713665, 0.289963, 0.038519, 0.993031
