Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 67417, 84918, 127377000, 10.1903, 17492, 26238000, 2.09907, 0.522735, 0.010727, 0.793991
7, 66780, 84918, 127377000, 10.1903, 17856, 26784000, 2.14295, 0.674991, 0.00516757, 0.789026
11, 67205, 84918, 127377000, 10.1903, 17542, 26313000, 2.10513, 0.539295, 0.0106542, 0.793007
15, 66724, 84918, 127377000, 10.1903, 17598, 26397000, 2.11197, 0.551073, 0.0108042, 0.7913
19, 66883, 84918, 127377000, 10.1903, 17582, 26373000, 2.10995, 0.543055, 0.0107646, 0.791843
23, 66819, 84918, 127377000, 10.1903, 17803, 26704500, 2.14194, 0.55333, 0.0106381, 0.789617
27, 67310, 84918, 127377000, 10.1903, 17506, 26259000, 2.10092, 0.65371, 0.010864, 0.7936
31, 66810, 84918, 127377000, 10.1903, 17638, 26457000, 2.1166, 0.553436, 0.0107427, 0.791138
35, 67139, 84918, 127377000, 10.1903, 17578, 26367000, 2.10951, 0.648578, 0.0108721, 0.792509
39, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
43, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
47, 66995, 84918, 127377000, 10.1903, 17448, 26172000, 2.09921, 0.583926, 0.0108819, 0.793375
51, 66981, 84918, 127377000, 10.1903, 17402, 26103000, 2.09366, 0.587058, 0.0108436, 0.793774
55, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
59, 66945, 84918, 127377000, 10.1903, 17514, 26271000, 2.10181, 0.551888, 0.0107396, 0.792633
63, 66493, 84918, 127377000, 10.1903, 17889, 26833500, 2.14684, 0.60689, 0.0105862, 0.788
67, 66866, 84918, 127377000, 10.1903, 17549, 26323500, 2.11131, 0.614141, 0.0107436, 0.79211
71, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
75, 66876, 84918, 127377000, 10.1903, 17562, 26343000, 2.10762, 0.541503, 0.010766, 0.792013
79, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
83, 66753, 84918, 127377000, 10.1903, 17599, 26398500, 2.11199, 0.562446, 0.0107583, 0.791362
87, 66727, 84918, 127377000, 10.1903, 17858, 26787000, 2.14847, 0.557242, 0.0105428, 0.788875
91, 66869, 84918, 127377000, 10.1903, 17556, 26334000, 2.10678, 0.528435, 0.010977, 0.792052
95, 66768, 84918, 127377000, 10.1903, 17529, 26293500, 2.10892, 0.548536, 0.0107674, 0.792057
