Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 74462, 84918, 127377000, 10.1903, 10074, 15111000, 1.20901, 0.533665, 0.00689948, 0.880832
8, 74375, 84918, 127377000, 10.1903, 10185, 15277500, 1.2223, 0.524256, 0.00688069, 0.879553
12, 74485, 84918, 127377000, 10.1903, 10078, 15117000, 1.20946, 0.531276, 0.00683578, 0.880823
16, 74447, 84918, 127377000, 10.1903, 10074, 15111000, 1.2089, 0.532797, 0.00688297, 0.880811
20, 74491, 84918, 127377000, 10.1903, 10074, 15111000, 1.20897, 0.531523, 0.00690244, 0.880873
24, 74490, 84918, 127377000, 10.1903, 10080, 15120000, 1.20972, 0.532461, 0.00686256, 0.880809
28, 74455, 84918, 127377000, 10.1903, 10074, 15111000, 1.20897, 0.539856, 0.00695858, 0.880822
32, 74348, 84918, 127377000, 10.1903, 10171, 15256500, 1.22062, 0.527049, 0.00685132, 0.87966
36, 74435, 84918, 127377000, 10.1903, 10078, 15117000, 1.20953, 0.533035, 0.00689858, 0.880752
40, 74385, 84918, 127377000, 10.1903, 10184, 15276000, 1.22217, 0.526525, 0.00691591, 0.879578
44, 74500, 84918, 127377000, 10.1903, 10074, 15111000, 1.2089, 0.53069, 0.00685866, 0.880885
48, 74403, 84918, 127377000, 10.1903, 10153, 15229500, 1.21838, 0.526471, 0.00678023, 0.879926
52, 74451, 84918, 127377000, 10.1903, 10074, 15111000, 1.20896, 0.530512, 0.00691971, 0.880816
56, 74596, 84918, 127377000, 10.1903, 9965, 14947500, 1.19592, 0.569758, 0.00679787, 0.882156
60, 74480, 84918, 127377000, 10.1903, 10089, 15133500, 1.21082, 0.530903, 0.00688642, 0.880701
64, 74592, 84918, 127377000, 10.1903, 9965, 14947500, 1.19588, 0.572191, 0.00684288, 0.882151
68, 74480, 84918, 127377000, 10.1903, 10074, 15111000, 1.20897, 0.531329, 0.00692785, 0.880857
72, 74346, 84918, 127377000, 10.1903, 10182, 15273000, 1.22186, 0.527932, 0.006775, 0.879543
76, 74487, 84918, 127377000, 10.1903, 10074, 15111000, 1.20896, 0.531924, 0.0069159, 0.880867
80, 74421, 84918, 127377000, 10.1903, 10123, 15184500, 1.21478, 0.52968, 0.00679092, 0.880264
84, 74360, 84918, 127377000, 10.1903, 10181, 15271500, 1.22185, 0.528594, 0.00679276, 0.879573
88, 74408, 84918, 127377000, 10.1903, 10134, 15201000, 1.21621, 0.531075, 0.00680926, 0.880131
92, 74351, 84918, 127377000, 10.1903, 10168, 15252000, 1.22028, 0.52879, 0.00687562, 0.879696
96, 74404, 84918, 127377000, 10.1903, 10173, 15259500, 1.22089, 0.52677, 0.00685256, 0.879719
100, 74377, 84918, 127377000, 10.1903, 10154, 15231000, 1.21859, 0.529044, 0.00684664, 0.879878
104, 74503, 84918, 127377000, 10.1903, 10074, 15111000, 1.20896, 0.532432, 0.00689911, 0.88089
108, 74488, 84918, 127377000, 10.1903, 10075, 15112500, 1.2091, 0.531834, 0.00695174, 0.880858
112, 74501, 84918, 127377000, 10.1903, 10074, 15111000, 1.20891, 0.53188, 0.00685472, 0.880887
116, 74421, 84918, 127377000, 10.1903, 10133, 15199500, 1.21607, 0.534412, 0.00686956, 0.880159
