Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 83875, 84918, 127377000, 10.1903, 487, 730500, 0.0587103, 0.780234, 0.0414457, 0.994227
6, 83759, 84918, 127377000, 10.1903, 471, 706500, 0.0567977, 0.835837, 0.0476212, 0.994408
10, 84044, 84918, 127377000, 10.1903, 478, 717000, 0.0574407, 0.892248, 0.0473771, 0.994345
14, 83839, 84918, 127377000, 10.1903, 448, 672000, 0.0541443, 0.833345, 0.04708, 0.994685
18, 83744, 84918, 127377000, 10.1903, 475, 712500, 0.0576869, 0.825007, 0.0438065, 0.99436
22, 83831, 84918, 127377000, 10.1903, 463, 694500, 0.0556158, 0.807243, 0.0455264, 0.994507
26, 83673, 84918, 127377000, 10.1903, 436, 654000, 0.0526063, 0.838957, 0.0496596, 0.994816
30, 83630, 84918, 127377000, 10.1903, 474, 711000, 0.0569381, 0.848948, 0.0484153, 0.994364
34, 84001, 84918, 127377000, 10.1903, 484, 726000, 0.0581311, 0.917133, 0.0486897, 0.994271
38, 83567, 84918, 127377000, 10.1903, 474, 711000, 0.0571654, 0.844182, 0.0473433, 0.99436
42, 83572, 84918, 127377000, 10.1903, 483, 724500, 0.0579676, 0.847034, 0.0498926, 0.994254
46, 83612, 84918, 127377000, 10.1903, 468, 702000, 0.0564466, 0.852805, 0.0431216, 0.994434
50, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
54, 83701, 84918, 127377000, 10.1903, 446, 669000, 0.0535338, 0.846794, 0.0493034, 0.9947
58, 83666, 84918, 127377000, 10.1903, 471, 706500, 0.0565345, 0.851618, 0.0479181, 0.994402
62, 83666, 84918, 127377000, 10.1903, 470, 705000, 0.0567184, 0.835105, 0.047677, 0.994414
66, 83764, 84918, 127377000, 10.1903, 410, 615000, 0.049202, 1.36526, 0.0771864, 0.995129
70, 83625, 84918, 127377000, 10.1903, 462, 693000, 0.0554735, 0.840898, 0.0514856, 0.994506
74, 83682, 84918, 127377000, 10.1903, 471, 706500, 0.0565629, 0.838351, 0.0488708, 0.994403
78, 83958, 84918, 127377000, 10.1903, 433, 649500, 0.0519796, 0.816425, 0.0459133, 0.994869
82, 83614, 84918, 127377000, 10.1903, 473, 709500, 0.056785, 0.856127, 0.0438526, 0.994375
86, 83746, 84918, 127377000, 10.1903, 468, 702000, 0.0562354, 0.822064, 0.0501603, 0.994443
90, 83775, 84918, 127377000, 10.1903, 442, 663000, 0.0530502, 0.839617, 0.0509165, 0.994752
94, 83703, 84918, 127377000, 10.1903, 453, 679500, 0.0543953, 0.843741, 0.0480258, 0.994617
98, 83749, 84918, 127377000, 10.1903, 482, 723000, 0.057928, 0.837974, 0.0463609, 0.994278
