Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 74071, 84918, 127377000, 10.1903, 9489, 14233500, 1.13872, 1.55787, 0.00632834, 0.886441
6, 74085, 84918, 127377000, 10.1903, 9471, 14206500, 1.13655, 1.55518, 0.00631191, 0.886651
10, 74057, 84918, 127377000, 10.1903, 9473, 14209500, 1.13679, 1.56099, 0.00632467, 0.886592
14, 74136, 84918, 127377000, 10.1903, 9408, 14112000, 1.12905, 1.56972, 0.00623585, 0.887389
18, 74027, 84918, 127377000, 10.1903, 9536, 14304000, 1.14434, 1.55935, 0.00627373, 0.885883
22, 74032, 84918, 127377000, 10.1903, 9531, 14296500, 1.14383, 1.56377, 0.00619982, 0.885942
26, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
30, 74213, 84918, 127377000, 10.1903, 9374, 14061000, 1.12494, 1.55916, 0.00633154, 0.887853
34, 74003, 84918, 127377000, 10.1903, 9573, 14359500, 1.14886, 1.55422, 0.00625198, 0.885458
38, 74079, 84918, 127377000, 10.1903, 9474, 14211000, 1.13693, 1.5632, 0.0062607, 0.886611
