Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
3, 82880, 84918, 127377000, 10.1903, 1430, 2145000, 0.58982, 0.619521, 0.0153831, 0.983039
7, 82766, 84918, 127377000, 10.1903, 1544, 2316000, 0.636701, 0.621879, 0.0170998, 0.981687
11, 82715, 84918, 127377000, 10.1903, 1540, 2310000, 0.636182, 0.671804, 0.0153449, 0.981722
15, 82923, 84918, 127377000, 10.1903, 1332, 1998000, 0.567627, 0.843033, 0.0110463, 0.984191
19, 83034, 84918, 127377000, 10.1903, 1218, 1827000, 0.5031, 0.672032, 0.0133146, 0.985543
23, 83148, 84918, 127377000, 10.1903, 1107, 1660500, 0.456565, 0.737797, 0.0117661, 0.986861
27, 82784, 84918, 127377000, 10.1903, 1491, 2236500, 0.615919, 0.665117, 0.0135547, 0.982308
31, 82897, 84918, 127377000, 10.1903, 1384, 2076000, 0.571634, 0.636461, 0.015497, 0.983579
35, 82909, 84918, 127377000, 10.1903, 1399, 2098500, 0.577847, 0.644434, 0.0170068, 0.983406
39, 82888, 84918, 127377000, 10.1903, 1387, 2080500, 0.572943, 0.679668, 0.0148319, 0.983542
43, 84150, 84918, 127377000, 10.1903, 100, 150000, 0.041682, 1.04413, 0.075961, 0.998813
47, 83138, 84918, 127377000, 10.1903, 1157, 1735500, 0.477921, 0.651995, 0.0155711, 0.986274
51, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
55, 83237, 84918, 127377000, 10.1903, 1073, 1609500, 0.442527, 0.623308, 0.01744, 0.987273
59, 83245, 84918, 127377000, 10.1903, 1065, 1597500, 0.439212, 0.607141, 0.0183711, 0.987368
63, 83053, 84918, 127377000, 10.1903, 1193, 1789500, 0.492848, 0.668151, 0.0151745, 0.985839
67, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
71, 83074, 84918, 127377000, 10.1903, 1236, 1854000, 0.509712, 0.630888, 0.0145198, 0.98534
