Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
4, 78674, 84918, 127377000, 10.1903, 5782, 8673000, 0.69385, 0.874097, 0.0141825, 0.931538
8, 77125, 84918, 127377000, 10.1903, 7588, 11382000, 0.910629, 0.880506, 0.0116973, 0.910427
12, 77014, 84918, 127377000, 10.1903, 7397, 11095500, 0.887733, 0.888971, 0.0121844, 0.912369
16, 77107, 84918, 127377000, 10.1903, 7435, 11152500, 0.892289, 0.882676, 0.0120442, 0.912056
20, 76370, 84918, 127377000, 10.1903, 7531, 11296500, 0.903774, 0.916109, 0.011446, 0.910239
24, 77201, 84918, 127377000, 10.1903, 7609, 11413500, 0.913145, 0.866719, 0.0115522, 0.910282
28, 77102, 84918, 127377000, 10.1903, 7464, 11196000, 0.895767, 0.886412, 0.0122102, 0.911738
32, 77281, 84918, 127377000, 10.1903, 7601, 11401500, 0.912177, 0.870081, 0.0115861, 0.910452
36, 76763, 84918, 127377000, 10.1903, 7541, 11311500, 0.905006, 0.886705, 0.0130916, 0.91055
40, 76383, 84918, 127377000, 10.1903, 7541, 11311500, 0.904952, 0.909152, 0.0114352, 0.910145
44, 77084, 84918, 127377000, 10.1903, 7540, 11310000, 0.904884, 0.866493, 0.0116271, 0.9109
48, 76261, 84918, 127377000, 10.1903, 7539, 11308500, 0.904717, 0.952001, 0.0117349, 0.910036
52, 77054, 84918, 127377000, 10.1903, 7589, 11383500, 0.910725, 0.877272, 0.0116199, 0.910341
56, 77070, 84918, 127377000, 10.1903, 7551, 11326500, 0.906203, 0.869924, 0.0116393, 0.910767
60, 77208, 84918, 127377000, 10.1903, 7558, 11337000, 0.90704, 0.87352, 0.0114672, 0.910837
64, 77297, 84918, 127377000, 10.1903, 7584, 11376000, 0.910157, 0.861871, 0.0114928, 0.910651
68, 77201, 84918, 127377000, 10.1903, 7581, 11371500, 0.909762, 0.873859, 0.0114921, 0.910582
72, 76873, 84918, 127377000, 10.1903, 7583, 11374500, 0.909994, 0.884182, 0.0116817, 0.910214
76, 77198, 84918, 127377000, 10.1903, 7582, 11373000, 0.909912, 0.872009, 0.011525, 0.910569
