Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 20408, 84918, 127377000, 10.1903, 64402, 96603000, 7.72923, 0.202209, 0.00300368, 0.240632
5, 20380, 84918, 127377000, 10.1903, 64463, 96694500, 7.73611, 0.198583, 0.00290268, 0.240208
9, 20342, 84918, 127377000, 10.1903, 64393, 96589500, 7.73069, 0.220343, 0.00300003, 0.240066
13, 20177, 84918, 127377000, 10.1903, 64455, 96682500, 7.73755, 0.218589, 0.00290277, 0.238409
17, 20398, 84918, 127377000, 10.1903, 64435, 96652500, 7.7337, 0.21736, 0.00297142, 0.240449
21, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
25, 20306, 84918, 127377000, 10.1903, 64391, 96586500, 7.73059, 0.217755, 0.00300472, 0.239749
29, 20478, 84918, 127377000, 10.1903, 64366, 96549000, 7.72771, 0.204337, 0.00301238, 0.241361
33, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
37, 20423, 84918, 127377000, 10.1903, 64428, 96642000, 7.73385, 0.226541, 0.00301346, 0.240693
41, 20368, 84918, 127377000, 10.1903, 64425, 96637500, 7.73279, 0.203458, 0.00300805, 0.240209
45, 20411, 84918, 127377000, 10.1903, 64437, 96655500, 7.73369, 0.201422, 0.00301526, 0.24056
49, 20311, 84918, 127377000, 10.1903, 64430, 96645000, 7.73376, 0.214539, 0.00301205, 0.239683
53, 20309, 84918, 127377000, 10.1903, 64386, 96579000, 7.7286, 0.206731, 0.00300903, 0.23979
57, 20460, 84918, 127377000, 10.1903, 64423, 96634500, 7.73264, 0.198825, 0.00300815, 0.241038
61, 20320, 84918, 127377000, 10.1903, 64379, 96568500, 7.72878, 0.205365, 0.00300242, 0.239908
65, 20348, 84918, 127377000, 10.1903, 64409, 96613500, 7.73327, 0.202389, 0.00301346, 0.240075
69, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
73, 20414, 84918, 127377000, 10.1903, 64404, 96606000, 7.72881, 0.203248, 0.0030154, 0.24068
77, 20495, 84918, 127377000, 10.1903, 64360, 96540000, 7.72726, 0.187063, 0.00301486, 0.24153
81, 20408, 84918, 127377000, 10.1903, 64413, 96619500, 7.73211, 0.219655, 0.00291458, 0.240601
85, 20252, 84918, 127377000, 10.1903, 64405, 96607500, 7.73022, 0.198721, 0.00300194, 0.239224
89, 20504, 84918, 127377000, 10.1903, 64371, 96556500, 7.72692, 0.21009, 0.00301613, 0.241579
93, 20355, 84918, 127377000, 10.1903, 64387, 96580500, 7.72991, 0.231131, 0.00300797, 0.2402
97, 21148, 84918, 127377000, 10.1903, 63687, 95530500, 7.64633, 0.183391, 0.00302997, 0.249284
101, 20439, 84918, 127377000, 10.1903, 64412, 96618000, 7.73051, 0.20976, 0.00301627, 0.240881
105, 20492, 84918, 127377000, 10.1903, 64401, 96601500, 7.72944, 0.225282, 0.0030173, 0.241386
